Airport,In_Strength_Vulnerability,Out_Strength_Contagiousness,Eigenvector_Centrality,Net_Contagion
ATL,2.377348085535103,0.8017596136071199,0.0,-1.5755884719279831
ORD,3.511422274856123,1.1766227938646736,0.0,-2.334799480991449
DFW,3.0603030855027433,0.7038329831410806,0.0,-2.356470102361663
DEN,3.2493555939467957,0.626034399083488,0.0,-2.6233211948633075
LAX,1.6874715613136193,0.8200774076631628,0.0,-0.8673941536504565
PHX,1.4472822419116413,0.7768231307949954,0.0,-0.6704591111166459
SFO,0.861495516001401,0.7036360345614654,0.0,-0.15785948143993556
IAH,1.5595384469592433,0.944779819526007,0.0,-0.6147586274332363
LAS,1.5529546620145307,0.6213006738010203,0.0,-0.9316539882135104
MSP,0.9549461183575964,1.1476858073774336,0.0,0.1927396890198373
SEA,0.8555210812558665,0.8718580154651228,0.0,0.016336934209256304
MCO,1.3624797728341103,0.9240003005854661,0.0,-0.43847947224864414
DTW,1.0442455717788874,1.106162088008881,0.0,0.0619165162299935
BOS,1.0786645686109921,1.3122370059162343,0.0,0.23357243730524213
CLT,0.8649077662436353,0.8945811384743451,0.0,0.02967337223070976
EWR,1.3865876858785935,0.7185906221958979,0.0,-0.6679970636826956
SLC,0.756598839731719,1.333996837117617,0.0,0.5773979973858979
LGA,1.302942398574221,1.0043535072597336,0.0,-0.2985888913144874
JFK,1.1298610196507703,0.4712946678246009,0.0,-0.6585663518261695
BWI,0.9098722384144954,0.6324627032343706,0.0,-0.2774095351801248
MDW,1.5990807874026103,0.8013772827867536,0.0,-0.7977035046158567
FLL,0.9118374486227098,0.6192696165715803,0.0,-0.29256783205112946
DCA,0.7055314611948266,2.1786253902900983,0.0,1.4730939290952718
SAN,0.6315602732452953,1.2106463948975277,0.0,0.5790861216522324
MIA,0.9369536052146414,0.4211248945043628,0.0,-0.5158287107102786
PHL,0.8842227834172537,0.7547310023075221,0.0,-0.12949178110973159
TPA,0.9491010313131667,1.5470205033874864,0.0,0.5979194720743197
DAL,0.947159557261459,0.865614789229775,0.0,-0.08154476803168398
HOU,0.9067120182400434,0.7336044616293882,0.0,-0.17310755661065524
PDX,0.3302845583589718,0.7847587482552922,0.0,0.45447418989632044
BNA,0.6514879409033519,1.0959490006519261,0.0,0.4444610597485742
STL,0.7240326207229864,0.8260656101669149,0.0,0.10203298944392858
HNL,0.16389970864989653,0.1673452341108982,0.0,0.0034455254610016584
OAK,0.38801073694520877,0.7759281889893319,0.0,0.38791745204412315
AUS,0.45916582960572305,1.9137356125782778,0.0,1.4545697829725548
MSY,0.46120150684731265,1.2325460351428335,0.0,0.7713445282955208
MCI,0.48208489778902647,1.0937827622189304,0.0,0.611697864429904
SJC,0.24017555588728476,0.38936540772993683,0.0,0.14918985184265207
SMF,0.23466707785169458,0.4755489670888676,0.0,0.24088188923717305
SNA,0.2523005128727507,1.2355115755751365,0.0,0.9832110627023858
CLE,0.33658393124486924,1.483376496387476,0.0,1.1467925651426067
IAD,0.4474963483141869,0.8055756489703734,0.0,0.3580793006561865
RDU,0.2805308955886828,1.3547316642373093,0.0,1.0742007686486263
10397,0.01690968157555787,0.0225658058706691,0.0,0.005656124295111229
SAT,0.3700260521734327,1.513371135730938,0.0,1.1433450835575054
MKE,0.3201275084074463,2.4095699600609946,0.0,2.0894424516535484
RSW,0.532057196206813,0.8306869722187129,0.0,0.2986297760118999
13930,0.0225658058706691,0.01690968157555787,0.0,-0.005656124295111229
IND,0.2945693567758372,1.0611135073811744,0.0,0.7665441506053372
SJU,0.2280271427140294,0.4496204605410664,0.0,0.221593317827037
